date,ticker,momentum,trend,mean_reversion,breakout,volume,rel_strength,news,score,ml_prob,price_eur
2026-09-24,AAPL,0.7852,0.8766,0.0,0.0,0.0,0.4946,0.0,0.633,0.53,294.4003
2026-09-24,ABBV,0.3586,0.869,0.0,0.0,0.0,-0.0533,0.59,0.6,0.521,232.3512
2026-09-24,ABT,0.6143,-0.0543,0.0,0.0,0.0,-0.7897,0.291,0.029,0.512,88.5777
2026-09-24,ACN,0.8814,-0.1781,0.0,0.0,0.0,-0.4141,-0.401,-0.034,0.457,155.4821
2026-09-24,ADBE,0.4552,-0.7724,0.0,0.0,0.0,-0.7786,0.236,-0.483,0.527,209.3982
2026-09-24,AIG,0.0266,-0.0394,0.0,0.0,0.0,-0.1436,0.099,-0.027,0.481,65.5722
2026-09-24,AMD,0.2084,0.9995,-0.1412,0.5057,0.0,0.9848,0.231,0.658,0.495,551.4835
2026-09-24,AMGN,0.4199,0.8364,0.0,0.0,0.0,-0.5967,0.127,0.588,0.488,355.8535
2026-09-24,AMT,-0.0548,-0.6911,0.0,-0.645,0.0,-0.4929,-0.458,-0.481,0.492,146.5867
2026-09-24,AMZN,0.2326,0.0711,0.0,0.0,0.0,-0.3508,-0.007,0.08,0.509,218.5566
2026-09-24,AVGO,-0.2847,-0.0905,0.0,0.0,0.0,-0.1339,0.323,-0.1,0.497,307.0555
2026-09-24,AXP,-0.559,-0.158,0.0,0.0,0.0,-0.6378,0.334,-0.18,0.507,267.8804
2026-09-24,BA,-0.4836,-0.8002,0.0,0.0,0.0,-0.5428,0.102,-0.575,0.502,172.4755
2026-09-24,BAC,-0.066,0.0456,0.2287,0.0,0.0,-0.6594,0.0,0.001,0.558,49.1047
2026-09-24,BKNG,-0.4258,-0.2432,0.3013,0.0,0.0,-0.9632,-0.101,-0.26,0.537,137.9541
2026-09-24,BLK,0.6636,0.043,0.0,0.0,0.0,-0.6027,0.37,0.108,0.521,940.7715
2026-09-24,BMY,0.478,0.1074,0.0,0.0,0.0,-0.658,0.138,0.135,0.536,53.8986
2026-09-24,BRK-B,0.2206,0.0507,0.0,0.0,0.0,-0.0195,0.145,0.062,0.456,442.7397
2026-09-24,C,-0.4277,0.1219,0.0,0.0,0.0,-0.1019,0.139,0.044,0.551,115.7724
2026-09-24,CAT,-0.8389,0.05,0.0,0.0,0.0,-0.0925,0.048,-0.058,0.473,705.7211
2026-09-24,CHTR,-0.4081,-0.9743,0.0,0.0,0.0,-0.962,-0.216,-0.65,0.499,103.0208
2026-09-24,CL,-0.6851,-0.0495,0.0,-0.1873,0.0,-0.5077,0.706,-0.114,0.521,74.7744
2026-09-24,CMCSA,-0.3482,-0.8674,0.0702,-0.5442,0.0,-0.9091,-0.526,-0.602,0.528,19.3947
2026-09-24,COF,-0.144,-0.0866,0.0,-0.3668,0.0,-0.6407,-0.069,-0.081,0.507,172.309
2026-09-24,COP,0.8023,0.8325,0.0,0.0,0.0,-0.1828,0.362,0.614,0.518,113.3536
2026-09-24,COST,-0.4612,-0.7243,0.0,0.0,0.0,-0.5099,0.809,-0.535,0.45,785.675
2026-09-24,CRM,0.6856,0.8937,0.0,0.0,0.0,0.8478,0.225,0.634,0.55,208.776
2026-09-24,CSCO,-0.3982,0.1996,0.0,0.0,0.306,-0.3928,0.141,0.105,0.567,93.7485
2026-09-24,CVS,-0.787,-0.035,0.3307,-0.3855,0.0,-0.6101,0.046,-0.153,0.528,74.5378
2026-09-24,CVX,0.884,0.8281,0.0,0.0,0.0,0.1948,0.624,0.618,0.524,180.2317
2026-09-24,DE,0.4843,0.9052,0.0,0.0,0.0,0.654,-0.129,0.626,0.537,609.0454
2026-09-24,DHR,0.7205,0.8023,0.0,0.8442,0.1232,0.2503,0.301,0.594,0.537,196.112
2026-09-24,DIS,0.4332,0.0409,0.0,0.0,0.0,-0.4156,0.633,0.08,0.509,92.5128
2026-09-24,DUK,-0.8701,-0.7419,0.2533,-0.2647,0.0,-0.525,0.088,-0.595,0.468,99.2348
2026-09-24,EMR,0.4818,0.7713,0.0,0.0,0.0,0.0277,0.216,0.56,0.524,136.8411
2026-09-24,F,-0.3508,-0.1015,0.0,-0.3765,0.0,-0.6525,-0.327,-0.115,0.528,11.0426
2026-09-24,FDX,-0.6574,-0.1003,0.26,-0.8375,-0.108,-0.8631,-0.425,-0.178,0.522,244.9889
2026-09-24,GD,-0.2329,-0.0949,0.3652,-0.6669,0.0,-0.7109,0.0,-0.139,0.521,294.7246
2026-09-24,GE,-0.6766,-0.0166,0.0,0.0,0.0,-0.6134,0.163,-0.089,0.509,280.2552
2026-09-24,GILD,0.8638,0.8092,0.0,0.0,0.0,0.0616,0.248,0.608,0.527,131.1883
2026-09-24,GM,0.1809,0.0064,0.0,-0.3974,0.0,-0.4669,-0.201,0.025,0.482,70.6115
2026-09-24,GOOGL,-0.2141,0.0278,0.0,0.0,0.0,-0.0178,0.146,-0.003,0.5,300.0443
2026-09-24,GS,-0.4326,-0.0568,0.0,-0.4962,0.0,-0.7712,0.276,-0.091,0.528,809.1713
2026-09-24,HD,-0.8804,-0.8313,0.2475,-0.8476,-0.1309,-0.7873,-0.056,-0.636,0.526,256.0665
2026-09-24,HON,-0.4089,-0.74,0.0,0.0,0.0,-0.1756,0.307,-0.538,0.5,185.6127
2026-09-24,IBM,-0.5992,-0.8024,0.0,-0.0,0.0,-0.2699,0.243,-0.585,0.493,198.9954
2026-09-24,INTC,-0.1771,0.9983,-0.1507,0.4509,0.0,0.9982,0.38,0.633,0.559,111.6446
2026-09-24,INTU,0.1429,-0.9674,0.0,-0.4661,0.0,-0.9499,-0.169,-0.61,0.486,242.8767
2026-09-24,ISRG,-0.0821,-0.2108,0.0,0.0,0.0,0.5097,0.802,-0.166,0.491,350.1393
2026-09-24,JNJ,0.4169,0.8411,0.0,0.0,0.0,-0.1048,0.252,0.59,0.527,237.2239
2026-09-24,JPM,0.3028,0.1166,0.0,-0.2035,0.0,-0.4086,0.691,0.123,0.583,296.714
2026-09-24,KHC,0.0133,0.051,0.0,0.0,0.0,-0.3574,0.366,0.04,0.542,20.9109
2026-09-24,KO,0.6462,0.8182,0.0,0.0,0.0,-0.2879,0.0,0.596,0.529,77.2108
2026-09-24,LIN,-0.6351,-0.0526,0.0,0.0,0.0,-0.3102,0.085,-0.112,0.436,410.2779
2026-09-24,LLY,-0.2383,0.7987,0.0,0.0,0.0,-0.353,0.575,0.517,0.516,1035.8084
2026-09-24,LMT,0.3244,-0.7103,0.0,0.0,0.0,-0.4288,0.204,-0.459,0.487,458.9707
2026-09-24,LOW,-0.8138,-0.8931,0.1393,-0.481,0.0,-0.7643,0.048,-0.652,0.438,165.1926
2026-09-24,MA,0.8279,0.1281,0.0,0.0,0.0,-0.4442,0.61,0.188,0.517,496.1125
2026-09-24,MCD,-0.6086,-0.8852,0.2325,0.0,0.0,-0.7051,0.095,-0.642,0.434,207.7243
2026-09-24,MDLZ,0.1838,0.0675,0.0,0.0,0.0,-0.2947,0.379,0.072,0.511,53.3377
2026-09-24,MDT,0.5423,0.0075,0.0,-0.515,0.0,-0.258,0.494,0.067,0.484,77.5702
2026-09-24,MET,0.7793,0.8868,0.0,0.0,0.0,0.0818,0.313,0.637,0.526,85.2299
2026-09-24,META,0.8017,0.336,-0.5277,0.8099,0.0512,0.9922,0.45,0.384,0.49,681.4799
2026-09-24,MMM,0.2259,0.1,0.0,0.0,0.0,-0.5092,0.242,0.101,0.521,146.8145
2026-09-24,MO,-0.4178,0.7174,0.0,0.0,0.0,0.189,0.467,0.455,0.524,60.3664
2026-09-24,MRK,0.8045,0.9314,0.0,0.0,0.0,-0.3983,0.42,0.658,0.529,129.6897
2026-09-24,MS,-0.3835,0.046,0.0,-0.4238,0.0,-0.6572,-0.182,-0.008,0.544,172.0549
2026-09-24,MSFT,0.9737,0.8619,0.0,0.0,0.0,-0.0062,0.26,0.639,0.511,436.3858
2026-09-24,NEE,-0.8294,-0.8218,0.4989,-0.6535,0.0,-0.6618,-0.082,-0.646,0.524,66.2734
2026-09-24,NFLX,0.0172,-0.8595,0.0,0.0,0.0,-0.7565,0.219,-0.566,0.496,62.8554
2026-09-24,NKE,-0.6067,-0.9455,0.0,0.0,0.0,-0.4552,-0.283,-0.652,0.459,31.5416
2026-09-24,NOW,0.6991,0.8861,0.0,0.0,0.0,0.6233,-0.21,0.631,0.475,120.7504
2026-09-24,NVDA,0.3762,0.8273,0.0,0.0,0.0,0.4987,0.209,0.58,0.505,196.8219
2026-09-24,ORCL,-0.123,-0.8544,0.0,-0.8659,-0.1758,-0.4875,-0.245,-0.574,0.517,122.2928
2026-09-24,PEP,-0.579,-0.8103,0.232,-0.3887,0.0,-0.6352,0.104,-0.604,0.511,112.3107
2026-09-24,PFE,0.9283,0.7951,0.0,0.0,0.0,-0.0778,0.433,0.606,0.531,24.8985
2026-09-24,PG,-0.114,-0.6033,0.0,0.0,0.0,-0.0178,0.359,-0.436,0.424,127.6739
2026-09-24,PLTR,0.9502,0.9483,0.0,0.0,0.0,0.5708,0.23,0.673,0.467,168.7859
2026-09-24,PM,0.3161,0.7763,0.0,0.0,0.0,-0.1322,0.532,0.55,0.519,167.8306
2026-09-24,PYPL,0.5238,0.0929,0.0,0.0,0.0,-0.8357,0.112,0.129,0.551,46.0986
2026-09-24,QCOM,0.1656,0.8654,0.0,0.0,0.0,0.9074,-0.231,0.583,0.489,170.2495
2026-09-24,RTX,0.0988,-0.0486,0.2391,-0.1239,0.0,-0.695,0.469,-0.053,0.519,165.2978
2026-09-24,SBUX,-0.623,-0.0773,0.2481,0.0,0.0,-0.7394,0.191,-0.156,0.528,82.0749
2026-09-24,SCHW,0.3894,0.0353,0.0,-0.3121,0.0,-0.6384,-0.133,0.071,0.542,87.193
2026-09-24,SO,-0.9188,-0.7672,0.3828,-0.0,0.0,-0.5802,0.409,-0.62,0.471,72.6448
2026-09-24,SPG,-0.7725,0.0563,0.0,0.0,0.0,-0.4422,-0.07,-0.046,0.463,179.3991
2026-09-24,T,0.9011,0.0556,0.0,0.0,0.0,-0.1599,0.514,0.143,0.509,22.3044
2026-09-24,TGT,0.7722,0.9386,0.0,0.0,0.0,-0.3726,-0.067,0.659,0.524,136.8499
2026-09-24,TMO,0.9568,0.9448,-0.2382,0.2742,0.0,0.5464,0.589,0.688,0.481,594.541
2026-09-24,TMUS,-0.1876,-0.8319,0.0,0.0,0.0,-0.609,0.682,-0.568,0.524,144.9127
2026-09-24,TSLA,-0.3177,-0.0895,0.0,0.0,0.0,0.6117,0.509,-0.103,0.506,331.2266
2026-09-24,TXN,-0.2321,0.202,0.0,0.0,0.0,0.2848,-0.137,0.125,0.529,237.1977
2026-09-24,UBER,-0.2125,-0.7525,0.0,0.0,0.0,-0.7514,0.238,-0.528,0.521,60.6644
2026-09-24,UNH,-0.6134,0.1322,0.0,0.0,0.0,-0.3985,0.495,0.03,0.562,328.6588
2026-09-24,UNP,0.0684,0.0964,0.0,0.0,0.0,-0.725,0.24,0.081,0.552,240.195
2026-09-24,UPS,-0.5886,-0.1872,0.0583,-0.9226,-0.3548,-0.7861,-0.015,-0.211,0.515,80.6726
2026-09-24,USB,-0.2357,0.0531,0.0,-0.191,0.0,-0.4984,0.416,0.014,0.542,51.1818
2026-09-24,V,0.568,0.7799,0.0,0.0,0.0,-0.3537,0.829,0.571,0.514,322.4977
2026-09-24,VZ,0.6935,0.0864,0.0,0.0,0.0,-0.4533,0.39,0.143,0.509,41.4712
2026-09-24,WFC,-0.0502,-0.051,0.0,-0.0973,0.0,-0.2724,0.0,-0.044,0.495,72.0226
2026-09-24,WMT,-0.3114,-0.7675,0.0,0.0,0.0,0.2144,-0.05,-0.545,0.492,94.2919
2026-09-24,XOM,0.7684,0.8007,0.0,0.0,0.0,0.0415,0.375,0.596,0.516,142.0995
2026-09-24,A2A.MI,-0.1032,0.0127,0.0,0.0,0.0,-0.0268,0.338,-0.002,0.525,2.311
2026-09-24,AMP.MI,0.4964,0.0317,0.0,0.0,0.0,-0.3442,0.0,0.08,0.525,11.47
2026-09-24,AZM.MI,0.4831,0.8211,0.0,0.0,0.0,0.1502,0.249,0.586,0.533,39.38
2026-09-24,BAMI.MI,0.4857,0.9184,0.0,0.0,0.0,0.3831,0.573,0.631,0.507,16.615
2026-09-24,BMED.MI,0.3383,0.8842,0.0,0.0,0.0,-0.073,0.0,0.605,0.533,23.68
2026-09-24,BMPS.MI,0.4662,0.9589,0.0,0.0,0.0,0.4553,0.0,0.648,0.532,11.978
2026-09-24,BPE.MI,0.2319,0.8671,0.0,0.0,0.0,0.1442,0.0,0.59,0.532,14.38
2026-09-24,BGN.MI,-0.0885,0.2253,0.0,0.0,0.0,-0.0408,0.0,0.158,0.541,65.3
2026-09-24,BZU.MI,-0.8013,-0.8773,0.0,0.0,0.0,-0.6572,0.315,-0.634,0.528,37.28
2026-09-24,CPR.MI,0.4266,0.0371,0.0,0.0,0.0,0.33,0.0,0.077,0.53,5.974
2026-09-24,DIA.MI,0.695,0.8447,0.0,0.0,0.0,0.2279,0.0,0.612,0.53,78.02
2026-09-24,ENEL.MI,-0.6531,-0.084,0.0,0.0,0.0,-0.357,0.058,-0.136,0.53,8.917
2026-09-24,ENI.MI,0.8263,0.8531,0.0,0.0,0.0,0.5467,0.484,0.625,0.532,24.02
2026-09-24,ERG.MI,-0.2667,0.6627,0.0,0.0,0.0,0.2384,0.23,0.436,0.53,22.82
2026-09-24,RACE.MI,0.453,0.832,0.0,0.0,0.0,-0.0641,0.0,0.589,0.531,355.85
